strategy,nthreads,npoints,runtime
1,1,10000000,1.27
1,1,10000000,1.26
1,1,10000000,1.25
1,1,10000000,1.25
1,1,100000000,12.57
1,1,100000000,12.57
1,1,100000000,12.56
1,1,100000000,12.56
1,1,1000000000,125.67
1,1,1000000000,125.62
1,1,1000000000,140.90
1,1,1000000000,131.40
1,2,10000000,0.63
1,2,10000000,0.63
1,2,10000000,0.63
1,2,10000000,0.63
1,2,100000000,7.13
1,2,100000000,7.47
1,2,100000000,7.47
1,2,100000000,7.47
1,2,1000000000,74.58
1,2,1000000000,74.61
1,2,1000000000,74.67
1,2,1000000000,74.60
1,3,10000000,0.54
1,3,10000000,0.57
1,3,10000000,0.58
1,3,10000000,0.57
1,3,100000000,5.76
1,3,100000000,5.75
1,3,100000000,6.55
1,3,100000000,7.75
1,3,1000000000,83.26
1,3,1000000000,58.10
1,3,1000000000,57.41
1,3,1000000000,57.49
1,4,10000000,0.46
1,4,10000000,0.49
1,4,10000000,0.51
1,4,10000000,0.48
1,4,100000000,4.90
1,4,100000000,4.90
1,4,100000000,4.90
1,4,100000000,4.90
1,4,1000000000,48.91
1,4,1000000000,49.00
1,4,1000000000,48.91
1,4,1000000000,49.01
1,6,10000000,0.42
1,6,10000000,0.43
1,6,10000000,0.44
1,6,10000000,0.46
1,6,100000000,4.41
1,6,100000000,4.39
1,6,100000000,4.41
1,6,100000000,4.42
1,6,1000000000,44.08
1,6,1000000000,53.21
1,6,1000000000,55.30
1,6,1000000000,52.33
1,8,10000000,0.31
1,8,10000000,0.35
1,8,10000000,0.37
1,8,10000000,0.38
1,8,100000000,4.05
1,8,100000000,3.82
1,8,100000000,3.85
1,8,100000000,3.88
1,8,1000000000,38.56
1,8,1000000000,38.59
1,8,1000000000,39.38
1,8,1000000000,38.40
1,16,10000000,0.38
1,16,10000000,0.39
1,16,10000000,0.40
1,16,10000000,0.38
1,16,100000000,3.92
1,16,100000000,3.87
1,16,100000000,3.86
1,16,100000000,3.88
1,16,1000000000,38.56
1,16,1000000000,38.50
1,16,1000000000,38.55
1,16,1000000000,38.47
1,32,10000000,0.37
1,32,10000000,0.38
1,32,10000000,0.38
1,32,10000000,0.39
1,32,100000000,3.84
1,32,100000000,3.84
1,32,100000000,3.87
1,32,100000000,3.85
1,32,1000000000,38.48
1,32,1000000000,38.52
1,32,1000000000,49.85
1,32,1000000000,54.93
1,64,10000000,0.52
1,64,10000000,0.55
1,64,10000000,0.55
1,64,10000000,0.54
1,64,100000000,5.48
1,64,100000000,5.48
1,64,100000000,5.48
1,64,100000000,5.48
1,64,1000000000,45.79
1,64,1000000000,38.45
1,64,1000000000,38.63
1,64,1000000000,38.52
2,1,10000000,1.63
2,1,10000000,1.47
2,1,10000000,1.47
2,1,10000000,1.47
2,1,100000000,14.73
2,1,100000000,14.74
2,1,100000000,14.73
2,1,100000000,14.73
2,1,1000000000,147.41
2,1,1000000000,161.78
2,1,1000000000,154.42
2,1,1000000000,147.58
2,2,10000000,1.11
2,2,10000000,1.14
2,2,10000000,1.11
2,2,10000000,1.28
2,2,100000000,13.63
2,2,100000000,13.36
2,2,100000000,13.65
2,2,100000000,13.61
2,2,1000000000,142.51
2,2,1000000000,153.34
2,2,1000000000,130.05
2,2,1000000000,129.86
2,3,10000000,1.36
2,3,10000000,1.61
2,3,10000000,1.63
2,3,10000000,1.62
2,3,100000000,15.74
2,3,100000000,16.18
2,3,100000000,15.58
2,3,100000000,16.22
2,3,1000000000,176.28
2,3,1000000000,160.25
2,3,1000000000,159.81
2,3,1000000000,183.08
2,4,10000000,1.92
2,4,10000000,1.78
2,4,10000000,1.78
2,4,10000000,1.84
2,4,100000000,18.47
2,4,100000000,18.56
2,4,100000000,18.03
2,4,100000000,17.99
2,4,1000000000,185.31
2,4,1000000000,182.85
2,4,1000000000,204.12
2,4,1000000000,174.56
2,6,10000000,2.10
2,6,10000000,2.09
2,6,10000000,2.17
2,6,10000000,2.17
2,6,100000000,21.19
2,6,100000000,22.18
2,6,100000000,21.68
2,6,100000000,22.18
2,6,1000000000,231.16
2,6,1000000000,224.25
2,6,1000000000,222.53
2,6,1000000000,239.43
2,8,10000000,2.29
2,8,10000000,2.42
2,8,10000000,2.47
2,8,10000000,2.46
2,8,100000000,24.44
2,8,100000000,24.06
2,8,100000000,24.25
2,8,100000000,24.30
2,8,1000000000,244.49
2,8,1000000000,248.36
2,8,1000000000,244.46
2,8,1000000000,252.40
2,16,10000000,2.53
2,16,10000000,2.50
2,16,10000000,2.51
2,16,10000000,2.49
2,16,100000000,25.34
2,16,100000000,24.92
2,16,100000000,25.49
2,16,100000000,25.18
2,16,1000000000,251.00
2,16,1000000000,254.04
2,16,1000000000,244.31
2,16,1000000000,253.34
2,32,10000000,2.43
2,32,10000000,2.51
2,32,10000000,2.48
2,32,10000000,2.46
2,32,100000000,24.88
2,32,100000000,25.09
2,32,100000000,25.82
2,32,100000000,25.08
2,32,1000000000,252.67
2,32,1000000000,246.47
2,32,1000000000,252.07
2,32,1000000000,255.36
2,64,10000000,2.56
2,64,10000000,2.46
2,64,10000000,2.54
2,64,10000000,2.45
2,64,100000000,25.36
2,64,100000000,25.38
2,64,100000000,24.51
2,64,100000000,24.94
2,64,1000000000,258.37
2,64,1000000000,255.05
2,64,1000000000,251.42
2,64,1000000000,250.47
3,1,10000000,1.43
3,1,10000000,1.28
3,1,10000000,1.28
3,1,10000000,1.28
3,1,100000000,12.86
3,1,100000000,12.90
3,1,100000000,12.88
3,1,100000000,12.87
3,1,1000000000,128.55
3,1,1000000000,153.80
3,1,1000000000,128.64
3,1,1000000000,128.62
3,2,10000000,0.71
3,2,10000000,0.72
3,2,10000000,0.81
3,2,10000000,0.87
3,2,100000000,8.57
3,2,100000000,8.61
3,2,100000000,8.58
3,2,100000000,8.43
3,2,1000000000,85.09
3,2,1000000000,103.59
3,2,1000000000,91.02
3,2,1000000000,84.21
3,3,10000000,0.67
3,3,10000000,0.70
3,3,10000000,0.70
3,3,10000000,0.71
3,3,100000000,7.02
3,3,100000000,7.04
3,3,100000000,7.01
3,3,100000000,7.05
3,3,1000000000,69.66
3,3,1000000000,70.77
3,3,1000000000,70.81
3,3,1000000000,82.26
3,4,10000000,0.89
3,4,10000000,0.91
3,4,10000000,0.90
3,4,10000000,0.90
3,4,100000000,8.94
3,4,100000000,8.06
3,4,100000000,8.11
3,4,100000000,8.09
3,4,1000000000,73.85
3,4,1000000000,64.08
3,4,1000000000,64.14
3,4,1000000000,63.98
3,6,10000000,0.50
3,6,10000000,0.55
3,6,10000000,0.56
3,6,10000000,0.57
3,6,100000000,5.72
3,6,100000000,5.71
3,6,100000000,5.73
3,6,100000000,5.71
3,6,1000000000,57.07
3,6,1000000000,57.21
3,6,1000000000,57.25
3,6,1000000000,64.59
3,8,10000000,0.72
3,8,10000000,0.72
3,8,10000000,0.76
3,8,10000000,0.73
3,8,100000000,7.21
3,8,100000000,7.15
3,8,100000000,7.19
3,8,100000000,7.26
3,8,1000000000,66.02
3,8,1000000000,53.49
3,8,1000000000,49.24
3,8,1000000000,49.16
3,16,10000000,0.45
3,16,10000000,0.49
3,16,10000000,0.49
3,16,10000000,0.49
3,16,100000000,4.92
3,16,100000000,4.93
3,16,100000000,4.92
3,16,100000000,4.96
3,16,1000000000,49.29
3,16,1000000000,49.35
3,16,1000000000,49.73
3,16,1000000000,49.16
3,32,10000000,0.49
3,32,10000000,0.49
3,32,10000000,0.49
3,32,10000000,0.49
3,32,100000000,4.92
3,32,100000000,4.91
3,32,100000000,4.91
3,32,100000000,4.92
3,32,1000000000,52.37
3,32,1000000000,61.97
3,32,1000000000,67.97
3,32,1000000000,56.24
3,64,10000000,0.44
3,64,10000000,0.48
3,64,10000000,0.48
3,64,10000000,0.49
3,64,100000000,4.91
3,64,100000000,4.89
3,64,100000000,4.88
3,64,100000000,4.90
3,64,1000000000,49.58
3,64,1000000000,49.28
3,64,1000000000,49.19
3,64,1000000000,49.14
